source,url_annonce,type_bien,prix,surface,nb_pieces,nb_chambres,ville,code_postal,description,date_scraping
bienici,https://www.bienici.com/annonce/vente/paris-13e/appartement/2pieces/laforet-immo-facile-52192521?q=%2Frecherche%2Fachat%2Fparis-75000%3Fpage%3D1&depuis-mise-en-avant=oui,appartement,420000.0,43.0,2.0,1.0,Paris,75013.0,"Appartement Paris 2 pièce(s) 43 m2.

PARIS 13 ème sur la place Jeanne d'Arc quartier et résidence très recherchée, nous vous proposons un appartement de 2 pièces

au 4 eme étage avec ascenseur dans une résidence de grand standing avec gardien et beau jardin comprenant une entrée un séjour lumineux avec vue dégagée sur la BNF une cuisine indépendante une chambre une salle d'eau avec wc et rangements bien agencé et agréable à vivre parties communes récemment refaites localisation idéale à proximité immédiate des transports métro lignes 6 7 et 14 RER C bus commerces supermarchés restaurants et du lieu de vie La Felicità proche également de nombreux établissements scolaires environnement dynamique et recherché idéal primo accédant investissement locatif ou pied à terre . Accès PMR

Un cave complète ce bien. Une place de parking en sus , à visiter sans tarder (5.00 % d'honoraires TTC à la charge de l'acquéreur.)

Copropriété de 354 lots - dont 129 lots habitation. (Pas de procédure en cours).

Charges annuelles : 1680.00 euros.",2026-04-13
bienici,https://www.bienici.com/annonce/vente/paris-3e/appartement/2pieces/laforet-immo-facile-52561506?q=%2Frecherche%2Fachat%2Fparis-75000%3Fpage%3D1&depuis-mise-en-avant=oui,appartement,695000.0,42.0,2.0,1.0,Paris,75003.0,"Paris 3ème - Haut Marais - 2 pièces - Ascenseur - 42 m2

Laforêt Marais vous présente un deux pièces au quatrième étage avec ascenseur baigné de lumière.

Totalement rénové par architecte, il se compose d'un bel espace de vie avec rangements sur mesure et cuisine ouverte, une salle d'eau avec W.C et une chambre avec rangements.

Nous avons apprécié sa vue dégagée, ses cinq fenêtres et sa luminosité.

Parfait pour un beau pied-à-terre Parisien dans le centre de Paris",2026-04-13
bienici,https://www.bienici.com/annonce/vente/paris-14e/appartement/5pieces/ag750524-523551494?q=%2Frecherche%2Fachat%2Fparis-75000%3Fpage%3D1,appartement,1145000.0,105.0,5.0,3.0,Paris,75014.0,"Paris XIVème - Rue de Châtillon: Appartement familial étage élevé avec vue dégagée.

Dans un immeuble de bon standing construit en 1970, ce bel appartement familial de 104 m², situé au 8ᵉ et avant-dernier étage avec ascenseur, offre une superbe luminosité et une vue entièrement dégagée sur les toits parisiens.
Il se compose d'une entrée avec rangements intégrés, d'un vaste séjour traversant exposé Sud-Ouest bénéficiant d'une belle perspective sur le ciel de Paris, avec cuisine ouverte, aménagée et équipée.
La partie nuit, bien distincte, comprend trois chambres calmes et sans vis-à-vis, dont une suite parentale avec salle d'eau attenante et douche à l'italienne. Une seconde salle de bains et deux WC indépendants complètent l'ensemble.
Entièrement rénové en 2017 avec des prestations contemporaines, l'appartement ne présente aucune perte d'espace et bénéficie d'un plan parfaitement optimisé idéal pour une famille.
Annexes : Deux caves côtes à côtes. Une place de parking en sous-sol, au sein de la copropriété accessible par rampe pour 25 000€.
Dessertes proches : Métro Ligne 4 Alésia, Ligne 13 Pernety",2026-04-13
bienici,https://www.bienici.com/annonce/vente/paris-14e/appartement/3pieces/ag750524-523551287?q=%2Frecherche%2Fachat%2Fparis-75000%3Fpage%3D1,appartement,510000.0,60.0,3.0,2.0,Paris,75014.0,"Paris XIVᵉ – Tombe Issoire \| Trois pièces à rénover avec distribution en étoile:.

Situé au 1er étage avec ascenseur d'un immeuble bien entretenu, cet appartement trois-pièces de 60,4 m² bénéficie d'une distribution en étoile particulièrement fonctionnelle, sans aucune perte d'espace.
Il se compose d'un séjour agréable, d'une cuisine indépendante pouvant être ouverte sur la pièce de vie, de deux chambres disposant de nombreux rangements, d'une salle de bains avec baignoire ainsi que d'un WC indépendant.
L'appartement est à rénover, il offre une base saine et un fort potentiel de valorisation, aussi bien pour une résidence principale que pour un projet d'investissement.
Un bien aux volumes équilibrés, au plan optimisé, situé dans un secteur recherché du 14ᵉ arrondissement.
En annexe, une petite cave saine et bétonnée complète ce bien. La copropriété dispose également d'un local à vélos.
Possibilité d'acquérir une place de parking en sus pour 23.000€ FAI dans la copropriété.
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr",2026-04-13
bienici,https://www.bienici.com/annonce/vente/paris-14e/appartement/3pieces/ag750524-523552058?q=%2Frecherche%2Fachat%2Fparis-75000%3Fpage%3D1,appartement,815000.0,64.0,3.0,2.0,Paris,75014.0,"Dernier étage avec terrasse.

Copropriété de bon standing avec gardienne, offrant un appartement avec une vue unique et dégagée sur la ville de Paris. Ce bien de 65 m² est situé au 9ᵉ et dernier étage avec ascenseur, et bénéficie d'un balcon de 7 m².

Ce bel appartement traversant se compose d'une entrée avec rangements ouvrant sur une vaste pièce de vie baignée de lumière, offrant une vue panoramique et un accès direct à la terrasse, exposée Est. Une cuisine aménagée et équipée.
La visite se poursuit dans l'espace nuit, desservant deux belles chambres avec
rangements, dont une avec une vue sur la tour Eiffel, ainsi qu'une salle d'eau et des WC indépendants.

Ce bien, rénové par un architecte est en parfait état et dispose d'un agencement fonctionnel sans perte d'espace.

En annexe : une cave saine.",2026-04-13
bienici,https://www.bienici.com/annonce/vente/paris-14e/appartement/3pieces/ag750524-523551401?q=%2Frecherche%2Fachat%2Fparis-75000%3Fpage%3D1,appartement,600000.0,60.0,3.0,2.0,Paris,75014.0,"Paris XIV – Moulin Vert: \| Trois pièces donnant sur jardin arboré:.

Au 1er étage avec ascenseur d'un bel immeuble récent parfaitement entretenu, un appartement de 3 pièces de 61 m² comprenant une agréable pièce de vie lumineuse exposée Sud donnant sur un agréable jardin calme et arboré. L'espace séjour dispose d'un volume idéal pour un cadre de vie confortable et fonctionnel.
La cuisine ouverte sur la pièce de vie est entièrement aménagée et équipée offre un agencement optimisé avec des matériaux de qualité.
Côté nuit, deux chambres bien proportionnées permettent une configuration flexible : chambre principale avec rangements intégrés et seconde chambre pouvant faire office de grande chambre d'enfant(s)disposant d'un balcon. L'appartement donne sur la partie piétonne de la rue du Moulin Vert, au calme absolu.
Une salle de bains, un WC indépendant, ainsi que buanderie complètent ce bien.
Sectorisation scolaire : Elémentaire et maternelle Hippolyte Maindron
En annexe: Une cave en sous-sol.
Local à vélo au sein de la copropriété
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr",2026-04-13
bienici,https://www.bienici.com/annonce/vente/paris-14e/appartement/2pieces/ag750524-523551350?q=%2Frecherche%2Fachat%2Fparis-75000%3Fpage%3D1,appartement,575000.0,56.0,2.0,1.0,Paris,75014.0,"Paris XIVème - Emile Dubois - Deux pièces en parfait état avec balcon.

Au sixième étage avec ascenseur d'un immeuble de standing, un appartement de 56m2 comprenant: Un grand séjour avec balcon filant donnant également sur la cuisine et la chambre. La cuisine séparée, aménagée et équipée. La visite se poursuit avec l'espace nuit qui comprend une grande chambre avec rangements intégrés donnant sur cour avec balcon. Ce bien chaleureux en parfait état est doté d'une salle d'eau, ainsi que d'un WC séparé.
Cet appartement a été pensé autour d'un style de vie organisé et spacieux, la chambre, la cuisine et l'entrée ont étés pourvus de rangements sur mesure permettant une optimisation idéale des espaces.
Proximité immédiate des commerces, et des transports.
Gardien à résidence.
En annexe: Une cave. Une place de parking en sous-sol accessible par rampe pour 19000€",2026-04-13
bienici,https://www.bienici.com/annonce/vente/paris-14e/appartement/1piece/ag750524-523551068?q=%2Frecherche%2Fachat%2Fparis-75000%3Fpage%3D1,,,,,,,,,2026-04-13
bienici,https://www.bienici.com/annonce/vente/paris-14e/appartement/4pieces/ag750524-523552007?q=%2Frecherche%2Fachat%2Fparis-75000%3Fpage%3D1,duplex,725000.0,73.0,4.0,2.0,Paris,75014.0,,2026-04-13
bienici,https://www.bienici.com/annonce/vente/paris-13e/appartement/4pieces/ag750524-523550795?q=%2Frecherche%2Fachat%2Fparis-75000%3Fpage%3D1,appartement,860000.0,81.0,4.0,3.0,Paris,75013.0,"Bel appartement familial avec balcon à deux pas de la Butte aux Cailles.

Paris XIIIème / Ligne 7 Tolbiac : Au sein d'un immeuble des années 75 de bon standing avec gardien, au 4ème étage avec ascenseur, un appartement familial de 82m2 Carrez composé comme suit:

Une entrée avec de nombreux rangements, une cuisine séparée, aménagée et équipée, un séjour baigné de lumière donnant accès au balcon, trois chambres au calme, une salle d'eau, une salle de bains et un WC indépendant.

Distribution idéale avec un plan offrant aucune perte d'espace.

Situé à quelques minutes à pieds de la rue Bobillot et de la rue de Tolbiac, l'appartement profite d'un emplacement stratégique, apprécié pour son attractivité et la richesse de ses commerces, transports et restaurants.

Au coeur d'un petit passage, au calme absolu, cette adresse offre un cadre de vie rare, à l'abris de l'agitation.

En annexe: une cave saine. Un parking en sus du prix",2026-04-13
