source,url_annonce,type_bien,prix,surface,nb_pieces,nb_chambres,ville,code_postal,description,date_scraping
leboncoin,https://www.leboncoin.fr/ad/ventes_immobilieres/3160893130,appartement,549000.0,41.0,2.0,1.0,Paris,75018.0,"Votre agence Connexion immobilier vous propose au coeur de Montmartre, dans le quartier recherché des Abbesses, ce magnifique appartement 2 pièces de 41m2.
Idéalement situé, rue Constance, à quelques pas de la rue Lepic, au 1er étage d'un bel immeuble Montmartrois, cet appartement se compose d'une entrée, un séjour avec 2 fenêtres en exposition Ouest, une grande chambre, une cuisine séparée, une salle de bains et un wc indépendant.
Parquet, cheminée et belle haute…",2026-04-13
leboncoin,https://www.leboncoin.fr/ad/ventes_immobilieres/3167522252,,400000.0,,,1.0,Paris,75016.0,"📍 Paris 16e – Métro Exelmans – Rue Parent de Rosan

Dans un immeuble de standing, découvrez ce local mixte bureaux + studio, entièrement rénové, idéal pour une activité professionnelle avec espace de vie.

✨ Caractéristiques :

Entrée privative et indépendante
Calme et lumineux, avec grande baie vitrée
3 bureaux (10 m², 9 m² et 8 m²)
1 studio indépendant de 15 m² équipé (douche + espace nuit)
Local refait à neuf, aucun travaux à prévoir
Rangements et aménagements optimisés, prêt à l’emploi

💼 …",2026-04-13
leboncoin,https://www.leboncoin.fr/ad/ventes_immobilieres/3178693776,,599000.0,,,1.0,Paris,75011.0,"PARIS 11eme Appartement rénové avec volumes rares ✨

📍 Rue du Faubourg du Temple à 100 m de la place de la république – au cœur d’un quartier prisé et vivant, à proximité immédiate des commerces et transports.

Découvrez ce superbe appartement entièrement repensé et rénové, offrant un cadre de vie unique mêlant charme de l’ancien et confort contemporain.

61 m² total au sol dont 33,57 m² Loi Carrez, ce bien se distingue par ses volumes généreux, sa hauteur sous plafond et son atmosphère chaleur…",2026-04-13
leboncoin,https://www.leboncoin.fr/ad/ventes_immobilieres/3178705640,,690000.0,,,1.0,Paris,75017.0,"Situé dans un bel immeuble Haussmannien, cet appartement de 64m2 est idéalement situé dans le 17e arrondissement, à proximité immédiate du métro Guy Môquet, des commerces et des écoles.

Description
\- 1er étage lumineux
\- Double salon-salle à manger de 30m2, une chambre de 14m2, une cuisine séparée, entrée spacieuse avec ses rangements, salle de bain et toilettes séparées
\- Possibilité de diviser en un séjour et deux chambres
\- Une cave complète ce bien

Points forts
\- Charme de l'ancien (parq…",2026-04-13
leboncoin,https://www.leboncoin.fr/ad/ventes_immobilieres/3178704803,,320000.0,,,1.0,Paris,75013.0,"L'ensemble est en parfait état.
Vendu Loué.
Vente directe propriétaire donc pas d'agence.",2026-04-13
leboncoin,https://www.leboncoin.fr/ad/ventes_immobilieres/3176927307,studio,148000.0,15.0,1.0,1.0,Paris,75009.0,"Mo Blanche - Dans un immeuble ancien, au 4ème étage sans ascenseur, studio de 14,20 m2 Loi Carrez comprenant une pièce de vie avec coin kitchenette et d'une salle d'eau avec WC. A proximité immédiate de tous les commerces et transports. Idéal pour premier achat ou pied à terre. Travaux à prévoir.

Surface : 15 m²

A propos de la copropriété :
Pas de procédure en cours
Nombre de lots : 31

Consommation énergie primaire : 422 kWh/m²/an
Consommation énergie finale : 0 kWh/m²/a…",2026-04-13
leboncoin,https://www.leboncoin.fr/ad/ventes_immobilieres/3123307885,appartement,314000.0,29.0,2.0,1.0,Paris,75020.0,"Mo Jourdain - Dans un immeuble ancien Arts Déco, au 1er étage avec ascenseur, appartement 2 pièces 29m2 sans aucune perte de place comprenant un séjour avec cuisine US équipée, chambre et salle d'eau avec WC. Idéal 1er achat. Vendu loué 1400 euros par mois de janvier à janvier.

Surface : 29 m²

A propos de la copropriété :
Pas de procédure en cours
Nombre de lots : 110
Date de réalisation du diagnostic énergétique : 18/12/2023

Consommation énergie primaire : 230 kWh…",2026-04-13
leboncoin,https://www.leboncoin.fr/ad/ventes_immobilieres/3055532185,appartement,365000.0,44.0,2.0,1.0,Paris,75012.0,"Situé dans le quartier de la Vallée de Fécamp - Dans un immeuble semi-récent de bon standing, appartement 2 pièces de 44 m2 comprenant un séjour de 17m2, chambre, cuisine équipée, salle d'eau, WC séparé et cave. Idéal 1er achat.

Surface : 44 m²

A propos de la copropriété :
Pas de procédure en cours
Nombre de lots : 65
Date de réalisation du diagnostic énergétique : 11/09/2025

Consommation énergie primaire : 290 kWh/m²/an
Consommation énergie finale : 0 kWh/m²/an",2026-04-13
leboncoin,https://www.leboncoin.fr/ad/ventes_immobilieres/3142330860,studio,305000.0,21.0,1.0,,Paris,75007.0,"Entre le MoEcole Militaire et le MoLa Tour-Maubourg - Dans un bel immeuble haussmannien, au 6ième et dernier étage sans ascenseur. Studio de 21m2 (au sol) et 19m2 (LC) en parfait état, comprenant une entrée avec rangements, une pièce de vie avec une vue exceptionnelle sur l'hôtel des invalides, coin cuisine et une salle de bains avec un wc séparé. Lumineux avec vue dégagée !

Surface : 21 m²

A propos de la copropriété :
Pas de procédure en cours
Nombre de lots : 37

Consom…",2026-04-13
leboncoin,https://www.leboncoin.fr/ad/ventes_immobilieres/3127550483,studio,140000.0,12.0,1.0,,Paris,75016.0,"Mo Ranelagh - Dans un immeuble des années 60, au -1, un studio avec une fenêtre donnant sur l'extérieure de 11.50m2 comprenant une pièce avec cuisine et salle d'eau avec wc. Idéal investissement ou pied à terre.

Surface : 12 m²

A propos de la copropriété :
Pas de procédure en cours
Nombre de lots : 40

Consommation énergie primaire : 280 kWh/m²/an
Consommation énergie finale : 0 kWh/m²/an",2026-04-13
